Algorithm,Image_Attack,TPR_Det,TPR_Tra,Mean_Acc
holo,Crop_0.5,0.96,0.92,0.8739615384615385
holo,Drop_0.8,0.97,0.9,0.8768846153846154
holo,JPEG_20,1.0,1.0,0.9900769230769231
holo,Blur_6,0.97,0.89,0.8405
holo,Noise_0.05,1.0,1.0,0.9891153846153846
holo,Bright_4,0.99,0.95,0.9148461538461539
gssync,Crop_0.5,0.89,0.63,0.73875
gssync,Drop_0.8,0.9,0.79,0.7773046875
gssync,JPEG_20,1.0,1.0,0.962265625
gssync,Blur_6,0.99,0.9,0.80421875
gssync,Noise_0.05,1.0,1.0,0.962421875
gssync,Bright_4,0.96,0.9,0.861484375
prc,Crop_0.5,0.0,0.0,0.4950390625
prc,Drop_0.8,0.01,0.0,0.496328125
prc,JPEG_20,0.38,0.34,0.67078125
prc,Blur_6,0.0,0.0,0.5030078125
prc,Noise_0.05,0.39,0.32,0.6622265625
prc,Bright_4,0.1,0.06,0.5305078125
