Model,Algorithm,Image_Attack,TPR_Det,TPR_Tra,Mean_Acc
SD2.0,holo,Crop_0.5,N/A,N/A,N/A
SD2.0,holo,Drop_0.8,N/A,N/A,N/A
SD2.0,holo,JPEG_20,N/A,N/A,N/A
SD2.0,holo,Blur_6,N/A,N/A,N/A
SD2.0,holo,Noise_0.05,N/A,N/A,N/A
SD2.0,holo,Bright_4,N/A,N/A,N/A
SD2.0,gssync,Crop_0.5,N/A,N/A,N/A
SD2.0,gssync,Drop_0.8,N/A,N/A,N/A
SD2.0,gssync,JPEG_20,N/A,N/A,N/A
SD2.0,gssync,Blur_6,N/A,N/A,N/A
SD2.0,gssync,Noise_0.05,N/A,N/A,N/A
SD2.0,gssync,Bright_4,N/A,N/A,N/A
SD2.0,prc,Crop_0.5,N/A,N/A,N/A
SD2.0,prc,Drop_0.8,N/A,N/A,N/A
SD2.0,prc,JPEG_20,N/A,N/A,N/A
SD2.0,prc,Blur_6,N/A,N/A,N/A
SD2.0,prc,Noise_0.05,N/A,N/A,N/A
SD2.0,prc,Bright_4,N/A,N/A,N/A
SD2.0,holo,Crop_0.5,0.95,0.92,0.8728076923076923
SD2.0,holo,Drop_0.8,0.96,0.95,0.8912692307692308
SD2.0,holo,JPEG_20,1.0,1.0,0.99
SD2.0,holo,Blur_6,0.97,0.95,0.8509230769230769
SD2.0,holo,Noise_0.05,1.0,1.0,0.9873076923076923
SD2.0,holo,Bright_4,1.0,0.98,0.9310384615384616
SD2.0,gssync,Crop_0.5,0.89,0.65,0.7391796875
SD2.0,gssync,Drop_0.8,0.9,0.73,0.7807421875
SD2.0,gssync,JPEG_20,1.0,1.0,0.961328125
SD2.0,gssync,Blur_6,1.0,0.93,0.8089453125
SD2.0,gssync,Noise_0.05,1.0,1.0,0.9690234375
SD2.0,gssync,Bright_4,0.97,0.93,0.8788671875
SD2.0,prc,Crop_0.5,0.0,0.0,0.4964453125
SD2.0,prc,Drop_0.8,0.01,0.0,0.4969921875
SD2.0,prc,JPEG_20,0.46,0.4,0.696796875
SD2.0,prc,Blur_6,0.0,0.0,0.4950390625
SD2.0,prc,Noise_0.05,0.37,0.3,0.650546875
SD2.0,prc,Bright_4,0.09,0.07,0.53578125
