Algorithm,Channel_Code,Severity,HW_Copy,Decode_Success_Rate,Effective_Loss_Rate,PSNR,TPR_Detection,TPR_Traceability,Mean_Acc,Std_Acc
holo,ldpc,mild,6,0.9100,0.0209,32.0247,1.0,1.0,0.9978076923076923,0.012348598977967744
holo,ldpc,moderate,6,0.4200,0.1017,30.4771,1.0,1.0,0.9955384615384616,0.014062456210625213
holo,ldpc,severe,6,0.0800,0.2339,29.7077,1.0,1.0,0.9935,0.01583164633387904
holo,none,mild,6,0.7700,0.0127,31.6956,1.0,1.0,0.9956923076923077,0.018876139664039913
holo,none,moderate,6,0.3200,0.0938,30.4033,1.0,1.0,0.994423076923077,0.01922202598447472
holo,none,severe,6,0.1200,0.2071,29.8341,1.0,1.0,0.9933076923076923,0.019478743113137128
gs,ldpc,mild,8,0.8300,0.0210,31.7464,1.0,1.0,0.990859375,0.021888383126519605
gs,ldpc,moderate,8,0.3700,0.1054,30.4220,1.0,1.0,0.9821875,0.02777338783177235
gs,ldpc,severe,8,0.1000,0.2346,29.4551,1.0,0.99,0.9748046875,0.03955020278562819
gs,none,mild,8,0.7400,0.0159,31.5424,1.0,1.0,0.9891015625,0.023577123830750092
gs,none,moderate,8,0.3300,0.0958,30.3815,1.0,1.0,0.9819921875,0.027255646979630684
gs,none,severe,8,0.1400,0.2052,29.7872,1.0,1.0,0.977890625,0.028523001977504264
prc,ldpc,mild,8,0.8700,0.0207,31.9719,0.73,0.65,0.82625,0.23870647653655888
prc,ldpc,moderate,8,0.3636,0.1018,30.4954,0.52,0.48,0.7426953125,0.24936705641853063
prc,ldpc,severe,8,0.0800,0.2283,29.8992,0.38,0.34,0.6690625,0.24050862474264773
prc,none,mild,8,0.7500,0.0142,31.8723,0.72,0.68,0.8394140625,0.23585189071531548
prc,none,moderate,8,0.3100,0.0966,30.3085,0.46,0.43,0.71453125,0.25029494024871907
prc,none,severe,8,0.1200,0.2036,30.1352,0.43,0.38,0.688828125,0.2460547407754961
